Area,Measure,ANZSIC06,Year,Value,Flags
"Hamilton City","Employee Count","Total Industry","2015",82200,
"Matamata-Piako District","Employee Count","Total Industry","2015",14200,
"Matamata-Piako District","Geographic Units","Total Industry","2015",5502,
"Waikato District","Employee Count","Total Industry","2015",16300,
"Waikato District","Employee Count","Total Industry","2016",17200,
"Matamata-Piako District","Geographic Units","Total Industry","2016",5454,
"Matamata-Piako District","Employee Count","Total Industry","2016",14300,
"Hamilton City","Employee Count","Total Industry","2016",83500,
"Hamilton City","Geographic Units","Total Industry","2016",14454,
"Waipa District","Geographic Units","Total Industry","2016",7242,
"Waipa District","Employee Count","Total Industry","2016",17300,
"Otorohanga District","Employee Count","Total Industry","2016",3450,
"Otorohanga District","Geographic Units","Total Industry","2016",1959,
"South Waikato District","Geographic Units","Total Industry","2016",2355,
"South Waikato District","Employee Count","Total Industry","2016",8000,
"Waitomo District","Employee Count","Total Industry","2016",4750,
"Waitomo District","Geographic Units","Total Industry","2016",1581,
"Taupo District","Geographic Units","Total Industry","2016",4740,
"Taupo District","Employee Count","Total Industry","2016",15300,
"Waikato District","Geographic Units","Total Industry","2016",8670,
"Western Bay of Plenty District","Geographic Units","Total Industry","2000",6489,
"Western Bay of Plenty District","Employee Count","Total Industry","2000",9600,
"Tauranga City","Employee Count","Total Industry","2000",35000,
"Tauranga City","Geographic Units","Total Industry","2000",9513,
"Rotorua District","Geographic Units","Total Industry","2000",6573,
"Rotorua District","Employee Count","Total Industry","2000",26600,
"Whakatane District","Employee Count","Total Industry","2000",10200,
"Whakatane District","Geographic Units","Total Industry","2000",3447,
"Kawerau District","Geographic Units","Total Industry","2000",327,
"Kawerau District","Employee Count","Total Industry","2000",3450,
"Opotiki District","Employee Count","Total Industry","2000",2400,
"Opotiki District","Geographic Units","Total Industry","2000",1041,
"Gisborne District","Geographic Units","Total Industry","2000",4314,
"Gisborne District","Employee Count","Total Industry","2000",18800,
"Wairoa District","Employee Count","Total Industry","2000",3400,
"Wairoa District","Geographic Units","Total Industry","2000",942,
"Hastings District","Geographic Units","Total Industry","2000",7185,
"Hastings District","Employee Count","Total Industry","2000",31700,
"Napier City","Employee Count","Total Industry","2000",21900,
"Napier City","Geographic Units","Total Industry","2000",4584,
"Central Hawke's Bay District","Geographic Units","Total Industry","2000",2055,
"Central Hawke's Bay District","Employee Count","Total Industry","2000",5900,
"New Plymouth District","Employee Count","Total Industry","2000",25800,
"New Plymouth District","Geographic Units","Total Industry","2000",6843,
"Stratford District","Geographic Units","Total Industry","2000",1479,
"Stratford District","Employee Count","Total Industry","2000",2500,
"South Taranaki District","Employee Count","Total Industry","2000",11300,
"South Taranaki District","Geographic Units","Total Industry","2000",4491,
"Ruapehu District","Geographic Units","Total Industry","2000",1875,
"Ruapehu District","Employee Count","Total Industry","2000",6100,
"Whanganui District","Geographic Units","Total Industry","2000",3504,
"Whanganui District","Geographic Units","Total Industry","2001",3477,
"Ruapehu District","Employee Count","Total Industry","2001",5700,
"Ruapehu District","Geographic Units","Total Industry","2001",1851,
"South Taranaki District","Geographic Units","Total Industry","2001",4467,
"South Taranaki District","Employee Count","Total Industry","2001",11000,
"Stratford District","Employee Count","Total Industry","2001",2600,
"Stratford District","Geographic Units","Total Industry","2001",1503,
"New Plymouth District","Geographic Units","Total Industry","2001",6792,
"New Plymouth District","Employee Count","Total Industry","2001",25400,
"Central Hawke's Bay District","Employee Count","Total Industry","2001",6500,
"Central Hawke's Bay District","Geographic Units","Total Industry","2001",2097,
"Napier City","Geographic Units","Total Industry","2001",4581,
"Napier City","Employee Count","Total Industry","2001",21300,
"Hastings District","Employee Count","Total Industry","2001",33000,
"Hastings District","Geographic Units","Total Industry","2001",7164,
"Wairoa District","Geographic Units","Total Industry","2001",942,
"Wairoa District","Employee Count","Total Industry","2001",3350,
"Gisborne District","Employee Count","Total Industry","2001",18900,
"Gisborne District","Geographic Units","Total Industry","2001",4275,
"Opotiki District","Geographic Units","Total Industry","2001",1053,
"Opotiki District","Employee Count","Total Industry","2001",2500,
"Kawerau District","Employee Count","Total Industry","2001",3350,
"Kawerau District","Geographic Units","Total Industry","2001",327,
"Whakatane District","Geographic Units","Total Industry","2001",3435,
"Whakatane District","Employee Count","Total Industry","2001",10300,
"Rotorua District","Employee Count","Total Industry","2001",26900,
"Rotorua District","Geographic Units","Total Industry","2001",6444,
"Tauranga City","Geographic Units","Total Industry","2001",9447,
"Tauranga City","Employee Count","Total Industry","2001",36400,
"Western Bay of Plenty District","Employee Count","Total Industry","2001",9600,
"Western Bay of Plenty District","Geographic Units","Total Industry","2001",6549,
"Western Bay of Plenty District","Geographic Units","Total Industry","2002",6741,
"Western Bay of Plenty District","Employee Count","Total Industry","2002",10200,
"Tauranga City","Employee Count","Total Industry","2002",39000,
"Tauranga City","Geographic Units","Total Industry","2002",9567,
"Rotorua District","Geographic Units","Total Industry","2002",6423,
"Rotorua District","Employee Count","Total Industry","2002",28800,
"Whakatane District","Employee Count","Total Industry","2002",10700,
"Whakatane District","Geographic Units","Total Industry","2002",3498,
"Kawerau District","Geographic Units","Total Industry","2002",318,
"Kawerau District","Employee Count","Total Industry","2002",3400,
"Opotiki District","Employee Count","Total Industry","2002",2500,
"Opotiki District","Geographic Units","Total Industry","2002",1053,
"Gisborne District","Geographic Units","Total Industry","2002",4302,
"Gisborne District","Employee Count","Total Industry","2002",19700,
"Wairoa District","Employee Count","Total Industry","2002",3450,
"Wairoa District","Geographic Units","Total Industry","2002",969,
"Hastings District","Geographic Units","Total Industry","2002",7362,
"Hastings District","Employee Count","Total Industry","2002",35800,
"Napier City","Employee Count","Total Industry","2002",21800,
"Napier City","Geographic Units","Total Industry","2002",4620,
"Central Hawke's Bay District","Geographic Units","Total Industry","2002",2097,
"Central Hawke's Bay District","Employee Count","Total Industry","2002",6600,
"New Plymouth District","Employee Count","Total Industry","2002",27100,
"New Plymouth District","Geographic Units","Total Industry","2002",6864,
"Stratford District","Geographic Units","Total Industry","2002",1485,
"Stratford District","Employee Count","Total Industry","2002",2650,
"South Taranaki District","Employee Count","Total Industry","2002",11900,
"South Taranaki District","Geographic Units","Total Industry","2002",4518,
"Ruapehu District","Geographic Units","Total Industry","2002",1887,
"Ruapehu District","Employee Count","Total Industry","2002",6000,
"Ruapehu District","Employee Count","Total Industry","2003",6100,
"Ruapehu District","Geographic Units","Total Industry","2003",1899,
"South Taranaki District","Geographic Units","Total Industry","2003",4428,
"South Taranaki District","Employee Count","Total Industry","2003",12000,
"Stratford District","Employee Count","Total Industry","2003",2700,
"Stratford District","Geographic Units","Total Industry","2003",1482,
"New Plymouth District","Geographic Units","Total Industry","2003",6993,
"New Plymouth District","Employee Count","Total Industry","2003",28500,
"Central Hawke's Bay District","Employee Count","Total Industry","2003",6300,
"Central Hawke's Bay District","Geographic Units","Total Industry","2003",2133,
"Napier City","Geographic Units","Total Industry","2003",4743,
"Napier City","Employee Count","Total Industry","2003",22600,
"Hastings District","Employee Count","Total Industry","2003",34900,
"Hastings District","Geographic Units","Total Industry","2003",7653,
"Wairoa District","Geographic Units","Total Industry","2003",969,
"Wairoa District","Employee Count","Total Industry","2003",3400,
"Gisborne District","Employee Count","Total Industry","2003",19500,
"Gisborne District","Geographic Units","Total Industry","2003",4368,
"Opotiki District","Geographic Units","Total Industry","2003",1083,
"Opotiki District","Employee Count","Total Industry","2003",2550,
"Kawerau District","Employee Count","Total Industry","2003",3300,
"Kawerau District","Geographic Units","Total Industry","2003",330,
"Whakatane District","Geographic Units","Total Industry","2003",3570,
"Whakatane District","Employee Count","Total Industry","2003",11300,
"Rotorua District","Employee Count","Total Industry","2003",29600,
"Rotorua District","Geographic Units","Total Industry","2003",6552,
"Tauranga City","Geographic Units","Total Industry","2003",10140,
"Tauranga City","Employee Count","Total Industry","2003",41300,
"Western Bay of Plenty District","Employee Count","Total Industry","2003",10200,
"Western Bay of Plenty District","Geographic Units","Total Industry","2003",7068,
"Western Bay of Plenty District","Geographic Units","Total Industry","2004",7611,
